NÂ°,CODIGO INFRACCION,TIPO DE VIA,LUGAR DE INTERVENCION,EMPRESA DE TRANSPORTE,CLUSTER
4469,N67,AV.,ALFREDO BENAVIDES,HOLREX EXPRESS,2
4470,U04,CA.,BELLAVISTA,DISTRIBUIDORA ROBASA SAC.,107
4471,R19,AV.,PASEO DE LA REP.,JUY BERENGUEL LUIS,34
4472,N67,AV.,PETIT THOUARS,CONSORCIO GRUPO SALAMANCA,46
4473,N61,AV.,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,12
4474,N24,PSJE.,TELLO,ESPECIAL SOLIDARIDAD,0
4476,R10,AV.,OSCAR R. BENAVIDES,RODRIGUEZ RAFAEL DORIS DEL PILAR,18
4477,R10,AV.,OSCAR R. BENAVIDES,RODRIGUEZ RAFAEL DORIS DEL PILAR,18
4478,U03,MLCON.,CISNEROS,RANSA COMERCIAL,163
4479,U07,AV.,PASEO DE LA REP.,RANSA COMERCIAL,163
4480,R12,MLCON.,CISNEROS,ET. MULTIPLES GENESIS,14
4481,U07,CA.,BERLIN,RANSA COMERCIAL,4
4482,N61,CA.,SCHELL,HOLREX EXPRESS,14
4483,N61,AV.,JOSE LARCO,URANO TOURS,47
4485,N61,AV.,PASEO DE LA REP.,ESPECIAL SOLIDARIDAD,22
4488,N50,AV.,ANGAMOS ESTE,ETRASCPSA,9
4489,U11,AV.,GRAU,COMERCIALIZADORA CANAN,26
4490,N24,AV.,PETIT THOUARS,URANO TOURS,16
4494,U07,MLCON.,BALTA,VILLANUEVA LUCERO P.,4
4495,U07,CA.,BELLAVISTA,SLPRO SAC,4
4497,N67,AV.,JOSE PARDO,AQUARIUS SAC,97
4498,U04,CA.,BELLAVISTA,TRANSPORTES 77,107
4499,U07,CA.,BOLOGNESI,TRANSPORTES 77,4
4500,U07,AV.,PETIT THOUARS,JIREM LOGISTIC,53
4502,N61,AV.,ALFREDO BENAVIDES,E.T. SAN ANTONIO S.A,12
4503,U07,AV.,GENERAL CORDOVA,CONCREMAX S.A,167
4505,U04,CA.,JOSE GALVEZ,SERV. LOG. PANIAGUA,104
4506,U07,AV.,GRAU,TRANSPORTES 77 S.A,79
4507,U07,AV.,ANGAMOS OESTE,MALDONADOS SERVICIOS,24
4509,U04,CA.,PIURA,DISTRIBUIDORA PACI,111
4510,R19,AV.,OSCAR R. BENAVIDES,PIZARRO SARABIA ALSIDES,18
4511,R19,AV.,OSCAR R. BENAVIDES,PIZARRO SARABIA ALSIDES,18
4513,N34,AV.,ALFREDO BENAVIDES,ETRANCISA,36
4514,R15,AV.,CMDTE. ESPINAR,HUAMAN MENDOZA M.,40
4515,U07,CA.,BOLOGNESI,GOLOSINAS Y PERFUMERIAS UNION,4
4517,U07,CA.,BERLIN,RAMIREZ VEGA VIDAL,4
4518,U07,CA.,BOLOGNESI,RANSA COMERCIAL S.A,4
4519,N61,AV.,ANGAMOS ESTE,ET GRUPO DIEZ SAC,51
4520,N61,AV.,ANGAMOS ESTE,ET GRUPO DIEZ SAC,51
4521,R15,AV.,OSCAR R. BENAVIDES,TAXI NUEVO SAN JUAN,110
4522,R12,AV.,GRAU,ET. Y SERV. M. MOBY D.,52
4523,R12,AV.,GRAU,ET. Y SERV. M. MOBY D.,52
4526,U07,CA.,BOLOGNESI,COORP. T. CARLEY S.A.C,4
4527,U07,CA.,BOLOGNESI,PANIFICADORA BIMBO,4
4529,U07,CA.,SAN IGNACIO DE LOYOLA,SUPERMAQ SAC,4
4530,R15,AV.,DIEZ CANSECO,BAZAN VASQUEZ VICTOR M.,40
4531,N61,AV.,ALFREDO BENAVIDES,REAL EXPRESS,12
4532,R15,AV.,JOSE PARDO,TORRES HINOSTROZA,159
4534,U07,AV.,PASEO DE LA REP.,SAGASTEGUI DISTRIBUIDORES,30
4535,U04,CA.,BELLAVISTA,DISTRIBUCIONES ROBASA SAC,104
4536,U04,CA.,BELLAVISTA,DISTRIBUCIONES ROBASA SAC,104
4537,U04,CA.,ENRIQUE PALACIOS,DISTRIBUCIONES ROBASA SAC,104
4538,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4539,U04,CA.,SAN MARTIN,DISTRIBUCIONES ROBASA SAC,104
4540,U11,CA.,BELLAVISTA,DISTRIBUCIONES ROBASA SAC,26
4541,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4543,R12,AV.,DIEZ CANSECO,J&J TOURS,52
4544,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4545,U04,AV.,JOAQUIN CAPELO,DISTRIBUCIONES ROBASA SAC,26
4546,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4547,U04,CA.,LOS PINOS,DISTRIBUCIONES ROBASA SAC,104
4548,U04,CA.,PORTA,DISTRIBUCIONES ROBASA SAC,104
4549,U07,AV.,PASEO DE LA REP.,DISTRIBUCIONES ROBASA SAC,53
4552,R12,AV.,DIEZ CANSECO,COORP. METROMOVIL,52
4553,N61,AV.,ALFREDO BENAVIDES,ETRASCPSA,12
4556,U07,CA.,GARCIA CALDERON,TRANSP. LEI S.A,4
4557,R05,AV.,AREQUIPA,TAXI NUEVO SAN JUAN,10
4558,N61,CA.,JOSE OLAYA,ESPECIAL SOLIDARIDAD,22
4559,N61,CA.,JOSE OLAYA,ESPECIAL SOLIDARIDAD,22
4560,U04,CA.,SAN MARTIN,DURAND PALOMINO ELIZABETH,104
4562,N61,CA.,JOSE OLAYA,URANO TOURS,54
4564,U04,CA.,PORTA,SILVA GOMEZ VILDER,104
4566,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4567,U07,CA.,ENRIQUE PALACIOS,J Y L SERVICIOS,4
4568,N67,AV.,JOSE PARDO,TRANSNASA,97
4569,U07,CA.,ENRIQUE PALACIOS,PEREZ OSORIO WILLIAN R.,4
4570,U07,CA.,GARCIA CALDERON,RUIZ NIÃ‘O DE TAVARA,4
4571,U07,AV.,OSCAR R. BENAVIDES,TRANSPORTES 77 S.A,79
4572,U11,CA.,LOS PINOS,DISTRIBUIDORA PACI,4
4573,U04,CA.,GENERAL SUAREZ,DISTRIBUIDORA PACI,111
4574,U07,AV.,ALFREDO BENAVIDES,ET PABLO EIRL,30
4575,U04,CA.,COLON,LELY SPECIAL CORPORATION,104
4578,U07,CA.,ENRIQUE PALACIOS,MONTEROSA S.A.C,4
4579,U07,CA.,INDEPENDENCIA,TRANSP. SALAZAR,4
4580,U07,CA.,ATAHUALPA,ABC REYES SAC,4
4582,U11,CA.,GARCIA CALDERON,ESPECIALISTA EMPRESARIAL,108
4584,U11,CA.,DOMINGO ELIAS,LELY ESPECIAL COORPORACION,108
4586,N61,AV.,ALFREDO BENAVIDES,HOLREX EXPRESS,12
4587,U11,CA.,DOMINGO ELIAS,GOMEZ VILLANUEVA HUGO C.,108
4588,U04,CA.,BERLIN,TRANSPORTES 77,104
4589,U07,CA.,BOLOGNESI,CORPORACION DE TRANSPORTES,4
4590,U07,CA.,INDEPENDENCIA,L&B TRANSP. SAC,4
4591,R15,AV.,OSCAR R. BENAVIDES,E.T. VIRGEN DE COPACABANA,110
4592,U11,CA.,INDEPENDENCIA,FARFAN GOMEZ ANGELICA,108
4594,U11,CA.,INDEPENDENCIA,FARFAN GOMEZ ANGELICA,108
4598,R15,CA.,BERLIN,CRIS MOTORÂ´S IMPORT,104
4599,N61,AV.,ALFREDO BENAVIDES,ETRANCISA,12
4600,N61,CA.,SCHELL,ETRANCISA,14
4601,U07,AV.,ROCA Y BOLOÃ‘A,DISTRIBUIDORA ROBASA SAC.,30
4602,N71,CA.,ATAHUALPA,ET. NASSAC,3
4603,N71,CA.,ATAHUALPA,ET. NASSAC,3
4606,U11,CA.,MONTERO,TANGERINE PERU SAC,108
4608,N01,AV.,JOSE LARCO,GRUPO ORION S.A,7
4611,N61,AV.,ALFREDO BENAVIDES,HOLREX EXPRESS,12
4612,U07,CA.,BELLAVISTA,ETRASGEM SAC,4
4613,N61,AV.,ALFREDO BENAVIDES,HOLREX EXPRESS,12
4614,U07,CA.,BOLOGNESI,TRANSP. PERALTA E HIJOS,4
4618,N61,AV.,JOSE PARDO,URANO TOURS,44
4619,R15,CA.,SCHELL,A&JUNIOR SAC,14
4620,R15,AV.,AREQUIPA,A&JUNIOR SAC,40
4621,U04,CA.,BELLAVISTA,TRANSPORTES 77 S.A,107
4622,U04,CA.,BELLAVISTA,TRANSPORTES 77 S.A,107
4624,U07,CA.,MONTERO,VIGO RABANAL ALINGOR A.,4
4625,U11,CA.,BELLAVISTA,TRANSPORTES 77 S.A,107
4626,U04,AV.,PETIT THOUARS,TRANSP. 77,1
4627,U04,CA.,BELLAVISTA,TRANSPORTES 77 S.A,107
4628,U04,CA.,ARISTIDES ALJOVIN,TRANSP. Y SERV. CARGA,104
4629,N61,AV.,PETIT THOUARS,ET. RAMIRO PRIALE P.,1
4632,U07,OV.,GUTIERREZ,TRANSPORTES RKM,4
4634,U04,CA.,FRANCIA,DISTRIBUIDORA PACI,111
4638,R15,AV.,ANGAMOS OESTE,ESPINOZA R. CHUQUE C.E,112
4640,R23,AV.,ALFREDO BENAVIDES,ARAUJO ROJAS AUGUSTO,71
4641,R15,AV.,JOSE PARDO,TAXI GOOD SAC,159
4643,N44,CA.,CORONEL INCLAN,ETERSAC,3
4644,N61,CA.,ATAHUALPA,ATCR SA.,86
4646,N61,AV.,ANGAMOS ESTE,CORPORACION ALELUYA,51
4647,U07,AV.,ALFREDO BENAVIDES,RAYME VILLEGAS MARCO,30
4648,N61,AV.,ANGAMOS ESTE,UNIDOS DOCE DE DICIEMBRE,51
4651,U07,AV.,RICARDO PALMA,TRANSPORTE QUILLA SAC,27
4656,R12,AV.,DIEZ CANSECO,E. MULT. SAN FRANCISCO DE ASIS,52
4662,N61,OV.,MIRAFLORES,ETRASCPSA,1
4663,N61,AV.,ANGAMOS ESTE,CILAP,51
4664,N61,AV.,ANGAMOS OESTE,ATCR SA.,32
4665,U07,CA.,BERLIN,DISTRIBUIDORA ROBASA SAC.,4
4666,U11,CA.,CANTUARIAS,SAN FERNANDO S.A,108
4668,U07,CA.,BELLAVISTA,SAN FERNANDO S.A,4
4669,R15,AV.,OSCAR R. BENAVIDES,SANTIAGO ALIPIO SANTOS,110
4670,R15,AV.,OSCAR R. BENAVIDES,ET. SOMOS PERUANOS,110
4671,U07,CA.,INDEPENDENCIA,TRANSPORTES SALAZAR EIRL,4
4672,U04,AV.,PASEO DE LA REP.,DISTRIBUCIONES ROBASA SAC,5
4673,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4674,U07,AV.,PASEO DE LA REP.,TRANSPORTES 77,113
4675,U07,CA.,SAN MARTIN,TRANSPORTES 77,4
4676,R15,AV.,OSCAR R. BENAVIDES,AUTO CRAFT. PERU,110
4677,U04,CA.,BELLAVISTA,TRANSPORTES 77 S.A,107
4679,R15,AV.,OSCAR R. BENAVIDES,CORDOVA SOTOMAYOR LEONOR,110
4680,N61,AV.,OSCAR R. BENAVIDES,ETRASCPSA,22
4682,U04,CA.,FRANCISCO DE PAULA CAMINO,DISTRIBUIDORA PACI SRL,104
4684,N61,AV.,PETIT THOUARS,ET. RAMIRO PRIALE P.,1
4686,N61,CA.,TORIBIO PACHECO,URANO TOURS,54
4688,N71,AV.,DIEZ CANSECO,HOLDING REAL EXPRESS,28
4689,U11,AV.,DIEZ CANSECO,QUISPE MELGAREJO PORFIRIO,26
4690,R05,AV.,PASEO DE LA REP.,FERNANDEZ PADILLA FRANKLIN,34
4692,U11,CA.,INDEPENDENCIA,SALAZAR PACHECO LUIS F.,108
4693,N61,AV.,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,12
4695,U07,CA.,TNT. AUGUSTO G.,MIXERCON SA.,4
4697,U07,AV.,ALFREDO BENAVIDES,MOVING SYSTEMS SAC,30
4698,U07,CA.,TNT. AUGUSTO G.,CONEREMAX SA.,4
4700,R15,MLCON.,BALTA,LOS LIDERES DEL TRANSPORTE,11
4703,U11,AV.,PASEO DE LA REP.,TRANSP. DE MARCANCIAS,26
4704,N61,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,1
4706,U04,CA.,BELLAVISTA,DISTRIBUIDORA PACI SRL,107
4707,U04,CA.,DIEZ CANSECO,DISTRIBUIDORA PACI,111
4708,U07,CA.,LOS PINOS,DISTRIBUIDORA PACI,4
4709,U04,CA.,LOS PINOS,DISTRIBUIDORA PACI,111
4710,U07,CA.,GONZALES PRADA,DISTRIBUIDORA PACI,4
4711,R18,AV.,ALFREDO BENAVIDES,ET. 20 DE SETIEMBRE,0
4713,N61,AV.,OSCAR R. BENAVIDES,ETRANCISA,22
4714,N61,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,1
4715,N01,CA.,ATAHUALPA,GRUPO ORION S.A,86
4716,N61,AV.,OSCAR R. BENAVIDES,HOLREX EXPRESS,22
4717,U04,CA.,JOSE TORIBIO POLO,DISTRIBUIDORA PACI,111
4718,U04,CA.,GENERAL SUAREZ,DISTRIBUIDORA PACI,111
4719,U07,CA.,DOS DE MAYO,DISTRIBUIDORA PACI,4
4720,U07,CA.,CORONEL INCLAN,DISTRIBUIDORA PACI,4
4721,N61,AV.,DIEZ CANSECO,VIRGEN DE COPACABANA,1
4722,U07,CA.,DOS DE MAYO,MANIOBRAS LIFT EIRL,4
4723,U07,CA.,LOS PINOS,TECMAN ACEROS S.A,4
4724,U07,CA.,SCHELL,PAJUELO CATALAN,4
4725,U07,CA.,CORONEL INCLAN,NAJARRO HUAMAN V.,4
4726,U17,CA.,CORONEL INCLAN,PALMA NOVA SAC,19
4727,U17,CA.,CORONEL INCLAN,MANIOBRAS LIFT EIRL,19
4728,U04,CA.,08 DE OCTUBRE,DISTRIBUIDORA PACI,111
4729,U04,CA.,JOSE TORIBIO POLO,DISTRIBUIDORA PACI,111
4730,U07,CA.,BOLOGNESI,ZAPATA MELENDEZ C,4
4731,U04,AV.,ALFREDO LEON,DISTRIBUIDORA PACI,140
4732,U11,CA.,BOLOGNESI,DISTRIBUIDORA PACI,4
4733,U11,CA.,BOLOGNESI,DISTRIBUIDORA PACI,4
4734,U04,CA.,BOLOGNESI,DISTRIBUIDORA PACI,4
4735,U07,CA.,BOLOGNESI,NUÃ‘EZ FERIL TEOFILO,4
4736,U07,AV.,PASEO DE LA REP.,TRANSP. TALAVERA,30
4737,R15,MLCON.,DE LA RESERVA,GLOBAL FAST SAC,40
4739,N40,AV.,ANGAMOS ESTE,ET. ANGAMOS,136
4740,U07,CA.,MARTIR OLAYA,VEND SAC.,4
4741,U04,CA.,DOS DE MAYO,RANSA COMERCIAL,57
4743,U15,CA.,DIEGO FERRE,PAREDES TOMAIRO ROSA,3
4744,U07,CA.,SAN MARTIN,COMERCIALIZADORA CANAN,4
4745,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4748,U07,AV.,CMDTE. ESPINAR,SERV. LOGISTICOS P.,156
4749,N61,AV.,CMDTE. ESPINAR,UNIDOS CHAMA,48
4751,U07,CA.,BELLAVISTA,DISTRIBUIDORA ROBASA SAC.,4
4752,U04,MLCON.,BALTA,TRANSP. TURISTICOS,5
4753,N34,AV.,GENERAL CORDOVA,ET. ANGAMOS,36
4754,U04,CA.,PORTA,COMERCIALIZADORA CANAN,27
4756,U07,CA.,ATAHUALPA,GARMA MAURY ELIZABETH,4
4763,U04,CA.,GRIMALDO DEL SOLAR,DISTRIBUIDORA PACI,111
4764,U04,CA.,BELLAVISTA,DISTRIBUIDORA PACI,107
4765,U07,CA.,DOS DE MAYO,UNION DE CONCRETERAS S.A,4
4766,N61,CA.,DOS DE MAYO,ESPECIAL SOLIDARIDAD,22
4767,U04,AV.,ALFREDO LEON,DISTRIBUIDORA PACI,140
4769,N01,AV.,DIEZ CANSECO,GRUPO ORION S.A,7
4770,N61,AV.,OSCAR R. BENAVIDES,ESPECIAL SOLIDARIDAD,22
4771,N61,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,22
4773,N61,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,1
4776,R15,CA.,SCHELL,MAYTA MAYTA ISMAEL,14
4779,N71,CA.,JOSE OLAYA,UNIDOS CHAMA,3
4782,N40,AV.,ANGAMOS OESTE,ET. ANGAMOS,136
4783,U07,CA.,COLON,TRANSP. TRANSLATINO,4
4785,R15,CA.,SCHELL,CASTRO RAMOS JOEL,14
4786,N40,AV.,OSCAR R. BENAVIDES,HOLREX EXPRESS,43
4788,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA SAC,104
4789,U04,CA.,ARICA,SERV. LOG. PANIAGUA,104
4790,U04,AV.,JOSE PARDO,TRANSP. RKM,89
4791,U15,AV.,ANGAMOS OESTE,JOZAYMA EIRL.,24
4792,N61,AV.,PETIT THOUARS,VIRGEN DE COPACABANA,1
4793,N24,AV.,PETIT THOUARS,VIRGEN DE COPACABANA,1
4794,U07,CA.,JUAN FANNING,TRANSP. RAFYLE,4
4795,U11,CA.,BELLAVISTA,TRANSP. RAFYLE,107
4800,R15,AV.,DIEZ CANSECO,AMADOR RODRIGUEZ,40
4802,N61,AV.,DIEZ CANSECO,URANO TOURS,54
4803,N61,AV.,ANGAMOS OESTE,ET. NUEVO HORIZONTE,32
4809,U04,AV.,DE LA AVIACION,MARGARITA GASTELU,142
4810,N61,AV.,ALFREDO BENAVIDES,REAL EXPRESS,12
4811,N67,AV.,OSCAR R. BENAVIDES,HOLDING REAL EXPRESS,162
4813,N60,AV.,OSCAR R. BENAVIDES,HOLDING REAL EXPRESS,162
4814,U04,CA.,ELIAS AGUIRRE,DISTRIBUCIONES ROBASA SAC,104
4815,N61,AV.,ALFREDO BENAVIDES,URANO TOURS,12
4820,U07,AV.,ALFREDO BENAVIDES,B.S.C SA,30
4821,U04,CA.,LOS PINOS,DISTRIBUIDORA PACI,111
4822,U04,CA.,BELLAVISTA,DISTRIBUIDORA PACI,107
4825,U07,AV.,PETIT THOUARS,MARTINEZ VASQUEZ HELI M.,53
4828,N01,AV.,ANGAMOS OESTE,GRUPO ORION S.A,91
4829,R22,AV.,PASEO DE LA REP.,FRANKLIN ROOSVELT,34
4830,N01,AV.,ANGAMOS OESTE,GRUPO ORION S.A,91
4833,N61,AV.,ANGAMOS OESTE,TRUSAC,32
4834,R12,AV.,JOSE PARDO,ET DE TAXIS,29
4835,N33,AV.,JOSE LARCO,UNIDOS CHAMA,7
4836,N61,AV.,OSCAR R. BENAVIDES,TRANSLIMA S.A,22
4837,R19,AV.,PASEO DE LA REP.,JUY BERENGUEL LUIS,34
4838,U07,AV.,PASEO DE LA REP.,U. DE CERV. PERUA BACKUSY,30
4839,U07,CA.,ATAHUALPA,ABC REYES SAC,4
4840,R15,AV.,AREQUIPA,A&JUNIOR SAC,40
4841,U04,CA.,BELLAVISTA,TRANSP. 77 S.A,107
4842,N61,CA.,ATAHUALPA,HOLREX EXPRESS,86
4843,U11,CA.,CANTUARIAS,SAN FERNANDO S.A,108
4844,N50,AV.,ANGAMOS ESTE,ETRASCPSA,9
4846,U04,CA.,J. TORIBIO POLO,DISTRIBUIDORA PACI,111
4847,N40,AV.,ANGAMOS ESTE,ET. ANGAMOS,136
4848,N67,AV.,OSCAR R. BENAVIDES,HOLDING REAL EXPRESS,162
4849,N60,AV.,OSCAR R. BENAVIDES,HOLDING REAL EXPRESS,162
4850,R15,AV.,DIEZ CANSECO,QUIQUINLLA VALENZUELA F.,40
4852,N61,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,22
4854,N61,AV.,ANGAMOS ESTE,ETRANCISA,51
4855,N61,AV.,ANGAMOS OESTE,ET. LOS ANGELES DEL PERU SA.,32
4856,N44,AV.,PETIT THOUARS,ET. 25 DE SETIEMBRE,109
4857,N61,AV.,JOSE PARDO,TRANSNASA,44
4858,N40,AV.,ANGAMOS OESTE,ET. ETFOCAN SA.,136
4860,N61,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,1
4861,R15,AV.,OSCAR R. BENAVIDES,E.T. VIRGEN DE COPACABANA,110
4862,N61,CA.,SCHELL,HOLREX EXPRESS,14
4864,U07,AV.,ALFREDO BENAVIDES,MOVING SYSTEMS SAC,30
4865,N61,AV.,ANGAMOS OESTE,ETMIMSA,32
4866,U07,AV.,JORGE CHAVEZ,EXPRESS TRANSPORTS S.A,177
4867,N61,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,22
4868,U07,CA.,TORIBIO PACHECO,N&S LOGISTICA SAC,4
4869,U07,CA.,JOSE OLAYA,TRANSP. J&L SRL,4
4871,N05,AV.,DIEZ CANSECO,HOLREX EXPRESS,20
4872,N71,AV.,FEDERICO VILLAREAL,ETMIMSA,28
4875,R15,AV.,COMANDANTE ESPINAR,HUAMAN MENDOZA M.,40
4876,U11,CA.,BELLAVISTA,DISTRIBUCIONES ROBASA S.A.C,107
4877,U07,AV.,ALFREDO BENAVIDES,ET PABLO EIRL,30
4879,N05,AV.,JOSE PARDO,VIRGEN DE COPACABANA,102
4880,U07,CA.,BELLAVISTA,ETRASGEM SAC,4
4881,N61,CA.,ATAHUALPA,ET. LOS ANGELES DEL PERU SA.,86
4883,U07,CA.,BELLAVISTA,SAN FERNANDO S.A,4
4884,U07,AV.,ALFREDO BENAVIDES,MOVING SYSTEMS SAC,30
4885,U07,CA.,INCLAN,DISTRIBUIDORA PACI SRL,4
4886,U04,CA.,08 DE OCTUBRE,DISTRIBUIDORA PACI,111
4887,N61,CA.,TORIBIO PACHECO,URANO TOURS,54
4889,N24,CA.,GENERAL SUAREZ,ESPECIAL SOLIDARIDAD,0
4890,U07,CA.,BOLOGNESI,INVERSIONES CADENAS JI,4
4891,N61,AV.,ANGAMOS OESTE,GRUPO ORION S.A,32
4899,N61,AV.,PETIT THOUARS,URANO TOURS,1
4900,U07,CA.,BERLIN,RANSA COMERCIAL,4
4902,R15,AV.,OSCAR R. BENAVIDES,TAXI NUEVO SAN JUAN,110
4904,U04,CA.,PORTA,DISTRIBUIDORA ROBASA SAC.,104
4905,R15,AV.,ANGAMOS OESTE,ESPINOZA R. CHUQUE C.E,112
4906,U07,AV.,ALFREDO BENAVIDES,RAYME VILLEGAS MARCO,30
4909,N61,AV.,ANGAMOS OESTE,GRUPO ORION S.A,32
4911,N01,AV.,PETIT THOUARS,GRUPO ORION S.A,69
4915,R22,AV.,PASEO DE LA REP.,MULTISERVICIOS Y NEG.SVICO,34
4919,N61,AV.,OSCAR R. BENAVIDES,ETRANCISA,22
4921,R08,AV.,PASEO DE LA REP.,E.T. TURISTICOS Y MULT.,34
4923,N67,AV.,ANGAMOS ESTE,ETUSA,106
4927,R12,AV.,DIEZ CANSECO,E. MULT. SAN FRANCISCO DE ASIS,52
4928,R05,AV.,PASEO DE LA REP.,FERNANDEZ PADILLA FRANKLIN,34
4929,U04,CA.,BOLOGNESI,DISTRIBUIDORA PACI,4
4931,N61,AV.,OSCAR R. BENAVIDES,ATRASCPSA,22
4932,U15,AV.,ANGAMOS OESTE,JOZAYMA EIRL.,24
4936,U17,CA.,MANUEL TOVAR,DE LA CRUZ VELASQUEZ J.,19
4937,N71,AV.,ANGAMOS OESTE,ET. ANGAMOS,45
4940,U07,AV.,PETIT THOUARS,JIREM LOGISTIC,53
4942,U04,CA.,LOS PINOS,DISTRIBUCIONES ROBASA,5
4943,U07,CA.,ENRIQUE PALACIOS,J Y L SERVICIOS,4
4945,N24,AV.,PETIT THOUARS,URANO TOURS,16
4949,U07,CA.,JUAN FANNING,HOFERSA SRL.,4
4950,N01,AV.,DIEZ CANSECO,GRUPO ORION S.A,7
4952,N61,AV.,OSCAR R. BENAVIDES,ESPECIAL SOLIDARIDAD,22
4953,R15,AV.,SANTA CRUZ,LEMA GADEA CARLOS E.,40
4954,R15,AV.,SANTA CRUZ,LEMA GADEA CARLOS E.,40
4955,U07,CA.,JUAN FANNING,ANDY EXPORT SAC.,4
4958,U04,CA.,BERLIN,COMERCIALIZADORA CANAN SAC,104
4959,U07,CA.,ATAHUALPA,COMERCIALIZADORA CANAN SAC,4
4960,U07,AV.,PASEO DE LA REP.,RANSA COMERCIAL,163
4962,R19,AV.,OSCAR R. BENAVIDES,PIZARRO SARABIA ALSIDES,18
4963,R19,AV.,OSCAR R. BENAVIDES,PIZARRO SARABIA ALSIDES,18
4964,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA,104
4965,U04,CA.,LOS PINOS,DISTRIBUIDORA PACI SRL .,104
4966,U07,CA.,GONZALES PRADA,DISTRIBUIDORA PACI SRL.,4
4967,U07,CA.,DOS DE MAYO,DISTRIBUIDORA PACI,4
4968,U11,CA.,BOLOGNESI,DISTRIBUIDORA PACI SRL.,4
4969,U07,CA.,MARTIR OLAYA,VEND SAC.,4
4970,U04,MLCON.,BALTA,TRANSP. TURISTICOS,5
4971,N61,CA.,DOS DE MAYO,ESPECIAL SOLIDARIDAD,22
4972,N40,AV.,ANGAMOS OESTE,ET. ANGAMOS,136
4973,N61,AV.,ANGAMOS OESTE,GRUPO ORION S.A,32
4974,N61,AV.,ANGAMOS OESTE,GRUPO ORION S.A,32
4975,N01,CA.,DOS DE MAYO,GRUPO ORION S.A,57
4979,N61,AV.,SANTA CRUZ,ET GRUPLAN SA,84
4980,N61,AV.,PETIT THOUARS,URANO TOURS,1
4981,N61,AV.,JOSE LARCO,URANO TOURS,47
4984,U07,AV.,COMANDANTE ESPINAR,QUISPETITO PALOMINO EMILIANO,163
4985,N71,AV.,COMANDANTE ESPINAR,ET. SANTA CATALINA,28
4986,R15,MLCON.,DE LA RESERVA,GLOBAL FAST SAC,40
4987,U04,CA.,SCHELL,SERV. TRANSP. SRL,14
4988,N61,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,1
4989,U07,CA.,BOLOGNESI,GOLOSINAS Y PERFUMERIAS UNION,4
4990,U07,CA.,SAN IGNACIO DE LOYOLA,SUPERMAQ SAC,4
4991,U04,CA.,BERLIN,DISTRIBUIDORA ROBASA SAC,104
4992,U04,AV.,JOAQUIN CAPELO,DISTRIBUCIONES ROBASA S.A.C,27
4994,U04,CA.,BELLAVISTA,TRANSP. 77 S.A,107
4997,U04,CA.,GENERAL SUAREZ,DISTRIBUIDORA PACI,111
4998,U04,CA.,ALFREDO LEON,DISTRIBUIDORA PACI SRL,104
4999,U11,CA.,BOLOGNESI,DISTRIBUIDORA PACI SRL,4
5002,N61,AV.,ANGAMOS OESTE,ETMIMSA,32
5003,N61,AV.,OSCAR R. BENAVIDES,TRANSLIMA S.A,22
5004,N61,AV.,OSCAR R. BENAVIDES,TRANSLIMA S.A,22
5007,N61,AV.,ANGAMOS OESTE,ATCR,32
5008,R10,AV.,OSCAR R. BENAVIDES,RODRIGUEZ RAFAEL DORIS DEL PILAR,18
5009,R10,AV.,OSCAR R. BENAVIDES,RODRIGUEZ RAFAEL DORIS DEL PILAR,18
5010,N61,AV.,ANGAMOS OESTE,E.T. GRUPLAN S.A,32
5012,U04,CA.,BERLIN,DISTRIBUCIONES ROBASA,104
5013,U07,CA.,ENRIQUE PALACIOS,MONTEROSA S.A.C,4
5016,N61,AV.,GENERAL CORDOVA,ET. ANGAMOS,78
5017,U07,CA.,ENRIQUE PALACIOS,PEREZ OSORIO WILLIAN R.,4
5018,U07,CA.,BOLOGNESI,TRANSP. PERALTA E HIJOS,4
5019,U07,CA.,LOS PINOS,DISTRIBUIDORA PACI SRL,4
5021,U04,CA.,ENRIQUE PALACIOS,DISTRIBUCIONES ROBASA SAC,104
5022,N61,AV.,PASEO DE LA REP.,HOLREX EXPRESS,31
5023,N61,AV.,PASEO DE LA REP.,HOLREX EXPRESS,31
